time,flux
1468.2721108429705,1.0012972
1468.273499740835,0.9983627
1468.2748886386983,0.99983215
1468.2762775365586,0.9990327
1468.277666434423,0.9990409
1468.279055332287,1.000398
1468.2804442301474,0.99903667
1468.2818331280112,0.99848384
1468.2832220258715,1.0002247
1468.2846109237319,0.99942887
1468.2859998215922,0.9984539
1468.2873887194526,1.0001906
1468.2887776173127,1.0002939
1468.2901665151737,0.99844265
1468.2915554130338,1.0005503
1468.2929443108899,0.99989444
1468.2943332087473,0.9963276
1468.2957221066083,1.0006008
1468.2971110044643,0.9975579
1468.2984999023208,0.9975884
1468.2998888001782,1.0014273
1468.3012776980347,0.99815154
1468.3026665958914,0.9979309
1468.3040554937445,1.0023406
1468.3054443916012,1.0006222
1468.3068332894547,1.0004671
1468.3082221873115,1.0010594
1468.3096110851639,1.0004607
1468.3109999830174,0.9984683
1468.3123888808711,0.9979554
1468.3137777787235,0.9999898
1468.315166676576,0.99777275
1468.3165555744288,0.99792576
1468.317944472279,0.9974034
1468.319333370132,1.0028509
1468.3207222679814,0.9987877
1468.3221111658306,0.99766994
1468.32350006368,1.0023959
1468.32488896153,1.0024823
1468.3262778593794,1.0009265
1468.3276667572281,1.0012552
1468.3290556550783,1.00192
1468.3304445529245,0.99942374
1468.3318334507733,1.0006053
1468.333222348619,1.0012201
1468.334611246469,1.000237
1468.3360001443148,1.0029953
1468.3373890421606,0.9995239
1468.3387779400061,1.0026819
1468.340166837852,1.0008204
1468.3415557356948,0.997441
1468.3429446335406,1.0009909
1468.344333531382,1.002818
1468.3457224292276,1.0006429
1468.3471113270705,0.9996573
1468.3485002249124,1.0010713
1468.349889122754,0.99914414
1468.3512780205967,0.99936676
1468.3526669184396,1.0030403
1468.354055816281,0.99985707
1468.3554447141194,1.0005035
1468.3568336119622,0.99967057
1468.3582225098005,0.99871856
1468.3596114076427,0.9969557
1468.3610003054812,1.0028174
1468.3623892033197,1.0009515
1468.3637781011587,1.0014836
1468.3651669989972,0.9977049
1468.3665558968314,1.0033749
1468.3679447946704,0.99783313
1468.3693336925096,1.0005218
1468.3707225903438,0.9989313
1468.3721114881787,1.0031816
1468.373500386014,1.0011429
1468.374889283849,1.000012
1468.3762781816831,0.99856114
1468.3873893643483,0.9981835
1468.388778262179,1.0006136
1468.3901671600102,0.9993817
1468.3915560578419,0.99901175
1468.3929449556695,1.0011106
1468.3943338535007,0.9976634
1468.3957227513283,1.0000263
1468.397111649156,0.9996865
1468.3985005469876,1.0014836
1468.3998894448152,1.0023632
1468.4012783426422,1.0004708
1468.4026672404666,1.0034367
1468.404056138295,0.9991514
1468.4054450361218,1.0008426
1468.4068339339458,1.0015227
1468.4082228317739,0.9977105
1468.4096117295978,1.0013833
1468.4110006274211,1.0010505
1468.4123895252449,0.99679166
1468.4137784230695,1.0004691
1468.4151673208935,1.0009525
1468.4165562187175,1.0004126
1468.4179451165376,0.9976394
1468.4193340143615,1.0003282
1468.4207229121823,1.0010482
1468.4221118100027,1.0020949
1468.423500707826,0.9990661
1468.424889605647,0.9992332
1468.4262785034678,1.0011643
1468.4276674012838,0.99946123
1468.429056299104,1.0004965
1468.430445196925,1.001511
1468.4318340947416,1.0016179
1468.4332229925583,1.0001165
1468.4346118903784,1.0003338
1468.436000788195,0.9988966
1468.4373896860125,1.0018086
1468.4387785838292,0.9988387
1468.4401674816452,1.0007021
1468.441556379458,1.0009325
1468.4429452772754,1.0002211
1468.4443341750882,0.99996823
1468.4457230729042,0.99997747
1468.447111970718,1.0009304
1468.4485008685317,1.0000546
1468.449889766344,1.0018653
1468.451278664157,0.99733365
1468.4526675619707,0.99998474
1468.4540564597798,0.9990267
1468.455445357593,1.0020279
1468.4568342554023,0.99949217
1468.4582231532147,1.0025318
1468.4596120510246,0.99732995
1468.4610009488347,0.9986817
1468.4623898466434,0.998092
1468.4637787444528,1.0039062
1468.4651676422627,1.0025469
1468.4665565400685,1.0000056
1468.467945437878,1.001857
1468.4693343356837,1.0000889
1468.470723233493,0.99700963
1468.4721121312987,1.0008748
1468.4735010291045,0.99894637
1468.47488992691,0.99999696
1468.4762788247158,0.99945724
1468.4776677225184,0.9990501
1468.4790566203242,0.99729466
1468.4804455181256,0.9975274
1468.481834415932,0.99881023
1468.4832233137347,0.9975762
1468.4846122115362,0.99572676
1468.4860011093383,0.99532706
1468.487390007141,0.9958389
1468.488778904943,0.9952816
1468.4901678027452,0.9989815
1468.4915567005437,0.99657637
1468.4929455983458,0.99713206
1468.4943344961448,0.99991643
1468.4957233939433,0.9997043
1468.4971122917411,0.9986531
1468.4985011895437,0.9960861
1468.4998900873393,0.9979067
1468.501278985137,1.0018272
1468.5026678829356,0.99822193
1468.504056780731,0.99623513
1468.5054456785294,0.99667674
1468.5068345763236,0.99760276
1468.5082234741183,0.996919
1468.5096123719138,0.9963511
1468.5110012697085,0.99924767
1468.5123901675033,0.9969095
1468.5137790652982,0.9978665
1468.515167963093,0.99784195
1468.5165568608847,0.9983416
1468.5179457586796,0.9977223
1468.5193346564702,1.0012413
1468.520723554262,0.99814296
1468.5221124520538,0.99865925
1468.5235013498443,0.99899584
1468.5248902476355,1.0019665
1468.5262791454272,1.004238
1468.5276680432148,1.0009906
1468.529056941006,0.99934345
1468.5304458387934,1.0014614
1468.5318347365803,1.0007412
1468.5332236343686,1.000891
1468.5346125321569,1.0021307
1468.5360014299438,1.0006
1468.5373903277305,1.002967
1468.5387792255187,1.001597
1468.5401681233031,1.0005562
1468.54155702109,1.0002689
1468.542945918874,1.0000362
1468.5443348166586,1.0010215
1468.5457237144426,0.9991578
1468.5471126122263,1.0001534
1468.5485015100103,1.0004092
1468.5498904077942,0.9997739
1468.551279305575,0.99916327
1468.552668203359,0.9995203
1468.5540571011386,1.0000764
1468.555445998923,1.0005821
1468.556834896704,0.99977267
1468.5582237944836,0.9980548
1468.559612692264,1.0008007
1468.5610015900447,1.0022128
